id,texto,classe
1676,navio mercante encontra peça em área de buscas em águas internacionais,tristeza
193,cozinha de restaurante argentino pega fogo em bairro da zona norte,medo
1582,xarope com produto tóxico teria matado 24 crianças em São Paulo,tristeza
1693,com financiamento coletivo brasileira reforma a cozinha,alegria
1694,enterro de paulo goulart será no início da tarde de hoje,tristeza
8,polícia encontra cocaína escondida em boneco de brinquedo,surpresa
1953,domingo no tca traz espetáculo cômico a r$ 1 para idosos,alegria
1697,mil desalojados dividem 4 chuveiros em abrigo da prefeitura,tristeza
1498,manifestantes fazem ato contra reunião do g8 no centro de paris,desgosto
1946,gurgel confirma existência do mensalão e aponta os culpados,raiva
1947,ninguem é de ferro,alegria
1950,flamengo 0 x liverpool 1,tristeza
75,chegando agora de um dia complicado,raiva
87,o inferno é aqui também,raiva
45,deixando claro que nao sou contra uma reogarnizacao,tristeza
35,que coisa idiota,raiva
47,vamos ser campeoes de qualquer maneira,alegria
